epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2204.42,1.30494,0.71307,0.00979,0.94512,0.82028,0.90102,0.67868,1.04056,0.68351,0.00603,0.0011882,0.0011882,0.0011882
43,2254.99,1.29955,0.69927,0.00955,0.88583,0.85714,0.90565,0.66319,1.08845,0.71075,0.00693,0.0011684,0.0011684,0.0011684
44,2305.71,1.27754,0.69326,0.00944,0.93901,0.85136,0.92269,0.67588,1.03451,0.66036,0.0061,0.0011486,0.0011486,0.0011486
45,2356.16,1.25785,0.68903,0.00914,0.94272,0.8343,0.92287,0.68635,1.05082,0.64519,0.00647,0.0011288,0.0011288,0.0011288
46,2407.87,1.27181,0.66618,0.00925,0.95812,0.84332,0.93975,0.68474,1.06807,0.56806,0.00657,0.001109,0.001109,0.001109
47,2458.26,1.25641,0.65419,0.00917,0.91966,0.88018,0.93921,0.70632,1.01354,0.501,0.00595,0.0010892,0.0010892,0.0010892
48,2509.53,1.24647,0.65923,0.00918,0.96328,0.84615,0.92983,0.70194,1.02519,0.5945,0.00595,0.0010694,0.0010694,0.0010694
49,2561.48,1.24959,0.6639,0.00896,0.94874,0.85297,0.92983,0.69912,1.02625,0.59286,0.00581,0.0010496,0.0010496,0.0010496
50,2615.55,1.22948,0.63703,0.00887,0.92139,0.88479,0.94092,0.71033,0.98041,0.53089,0.00557,0.0010298,0.0010298,0.0010298
51,2668.41,1.22781,0.62485,0.00894,0.92886,0.90261,0.92946,0.69137,0.98331,0.49657,0.00548,0.00101,0.00101,0.00101
52,2721.62,1.20598,0.6582,0.0087,0.97367,0.85215,0.93175,0.70012,1.02983,0.57752,0.00579,0.0009902,0.0009902,0.0009902
53,2773.73,1.23319,0.61754,0.0091,0.96377,0.88479,0.93129,0.71661,0.97218,0.52511,0.0053,0.0009704,0.0009704,0.0009704
54,2826.74,1.21128,0.63065,0.00865,0.97589,0.84793,0.93912,0.71991,0.98344,0.52183,0.0056,0.0009506,0.0009506,0.0009506
55,2878.7,1.2016,0.61028,0.00848,0.89533,0.90323,0.93918,0.71585,0.97978,0.5116,0.00528,0.0009308,0.0009308,0.0009308
56,2930.52,1.20241,0.60246,0.00885,0.91129,0.89949,0.93819,0.70892,0.98569,0.57337,0.00548,0.000911,0.000911,0.000911
57,2981.45,1.18337,0.60023,0.00845,0.92138,0.87097,0.93295,0.70388,1.0143,0.53732,0.00567,0.0008912,0.0008912,0.0008912
58,3032.55,1.20232,0.61547,0.00881,0.9377,0.89401,0.94363,0.71704,0.9716,0.4875,0.0055,0.0008714,0.0008714,0.0008714
