epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,267.488,1.80106,1.43742,0.02467,0.79865,0.83535,0.8426,0.45794,1.74729,1.11614,0.02941,0.0011882,0.0011882,0.0011882
43,273.315,1.80822,1.40504,0.02575,0.75859,0.82746,0.85082,0.51394,1.62055,1.0154,0.02472,0.0011684,0.0011684,0.0011684
44,279.391,1.80326,1.38102,0.02342,0.78843,0.73684,0.80548,0.47837,1.51975,1.16931,0.02677,0.0011486,0.0011486,0.0011486
45,285.141,1.86495,1.41131,0.02641,0.93194,0.72144,0.87841,0.54265,1.53804,0.98805,0.02484,0.0011288,0.0011288,0.0011288
46,291.225,1.82098,1.22095,0.02587,0.86969,0.89474,0.91333,0.5518,1.50739,0.9639,0.02402,0.001109,0.001109,0.001109
47,297.036,1.82444,1.32366,0.02671,0.92963,0.89474,0.94,0.50383,1.65496,0.99233,0.0265,0.0010892,0.0010892,0.0010892
48,303.009,1.71387,1.28089,0.02385,0.7843,0.7662,0.84446,0.46399,1.63344,1.13949,0.0253,0.0010694,0.0010694,0.0010694
49,308.975,1.73667,1.215,0.02648,0.84863,0.88557,0.901,0.58891,1.3182,0.98925,0.02056,0.0010496,0.0010496,0.0010496
50,314.975,1.7109,1.20406,0.02384,0.80535,0.84211,0.87601,0.51908,1.5966,0.93435,0.02664,0.0010298,0.0010298,0.0010298
51,320.809,1.7622,1.23108,0.02375,0.68338,0.79542,0.82544,0.47686,1.47591,0.99809,0.02636,0.00101,0.00101,0.00101
52,326.693,1.81642,1.30916,0.02597,0.72685,0.84211,0.84613,0.4568,1.6795,1.23489,0.02845,0.0009902,0.0009902,0.0009902
53,332.746,1.73505,1.2721,0.02533,0.87125,0.84211,0.89711,0.54118,1.43735,1.15262,0.02281,0.0009704,0.0009704,0.0009704
54,338.889,1.69661,1.20384,0.02372,0.9287,0.73684,0.87385,0.54663,1.3408,1.15219,0.02266,0.0009506,0.0009506,0.0009506
55,344.707,1.74181,1.21866,0.02456,0.80001,0.84215,0.90326,0.54754,1.55149,1.07958,0.02355,0.0009308,0.0009308,0.0009308
56,351.049,1.62033,1.11266,0.01999,0.85875,0.78947,0.87699,0.54992,1.31597,0.9564,0.02076,0.000911,0.000911,0.000911
57,356.964,1.71024,1.17549,0.02474,0.79827,0.84211,0.87152,0.53172,1.42001,0.96901,0.02101,0.0008912,0.0008912,0.0008912
